date,price,return
19/07/2019,29055,-0.002543656
22/07/2019,28953,-0.00351676
23/07/2019,28865,-0.003044037
24/07/2019,28967,0.003527463
25/07/2019,28914,-0.001831344
26/07/2019,28728,-0.00645365
29/07/2019,28350,-0.013245227
30/07/2019,28186,-0.005801629
31/07/2019,28241,0.001949422
01/08/2019,28144,-0.003440635
02/08/2019,28216,0.002555005
05/08/2019,28250,0.001204265
06/08/2019,28286,0.001273525
07/08/2019,28183,-0.003648023
08/08/2019,28168,-0.000532377
09/08/2019,27912,-0.009129878
12/08/2019,28006,0.003362069
13/08/2019,27981,-0.000893065
14/08/2019,27977,-0.000142964
15/08/2019,28045,0.002427619
16/08/2019,28199,0.005476153
19/08/2019,28136,-0.002236621
20/08/2019,28233,0.003441611
21/08/2019,28135,-0.003477154
22/08/2019,28420,0.01007877
23/08/2019,28480,0.002108964
26/08/2019,28339,-0.004963139
27/08/2019,28502,0.005735312
28/08/2019,28332,-0.005982352
29/08/2019,28270,-0.002190736
30/08/2019,28184,-0.003046731
02/09/2019,27975,-0.007443187
03/09/2019,28032,0.002035461
04/09/2019,28419,0.013711221
05/09/2019,28608,0.006628463
06/09/2019,28489,-0.004168351
09/09/2019,28639,0.005251377
10/09/2019,28641,6.98E-05
11/09/2019,28595,-0.00160738
12/09/2019,28616,0.000734125
13/09/2019,29006,0.013536703
16/09/2019,28855,-0.005219417
17/09/2019,29029,0.006012042
18/09/2019,28937,-0.003174277
19/09/2019,29065,0.004413648
20/09/2019,28950,-0.003964497
23/09/2019,28838,-0.003876242
24/09/2019,28972,0.004635884
25/09/2019,28650,-0.011176403
26/09/2019,28587,-0.002201374
27/09/2019,28508,-0.002767319
30/09/2019,28513,0.000175374
01/10/2019,28551,0.001331838
02/10/2019,28536,-0.000525514
03/10/2019,28601,0.002275234
04/10/2019,28608,0.000244717
07/10/2019,28513,-0.003326275
08/10/2019,28343,-0.005980038
09/10/2019,28344,3.53E-05
10/10/2019,28861,0.018075835
11/10/2019,29341,0.016494653
14/10/2019,29246,-0.003243043
15/10/2019,29665,0.014225088
16/10/2019,29768,0.003466091
17/10/2019,29908,0.004692012
18/10/2019,30097,0.006299496
21/10/2019,30069,-0.000930758
22/10/2019,29864,-0.006840999
23/10/2019,29972,0.003609871
24/10/2019,29816,-0.00521845
25/10/2019,29745,-0.002384112
28/10/2019,29840,0.003188725
29/10/2019,29849,0.000301563
30/10/2019,29930,0.002709983
31/10/2019,30023,0.003102433
01/11/2019,30007,-0.000533067
04/11/2019,29885,-0.004074006
05/11/2019,29885,0
